invoice_id,branch,city,category,unit_price,quantity,total_sales,profit_margin,gross_profit,date,year,month,month_name,quarter,day_of_week,is_weekend,time,hour,payment_method,rating,rating_category
1,WALM003,San Antonio,Health and beauty,74.69,7,522.8299999999999,0.48,250.95839999999995,2019-01-05,2019,1,January,1,Saturday,1,1900-01-01 13:08:00,13,Ewallet,9.1,Excellent
2,WALM048,Harlingen,Electronic accessories,15.28,5,76.39999999999999,0.48,36.672,2019-03-08,2019,3,March,1,Friday,0,1900-01-01 10:29:00,10,Cash,9.6,Excellent
3,WALM067,Haltom City,Home and lifestyle,46.33,7,324.31,0.33,107.0223,2019-03-03,2019,3,March,1,Sunday,1,1900-01-01 13:23:00,13,Credit card,7.4,Good
4,WALM064,Bedford,Health and beauty,58.22,8,465.76,0.33,153.70080000000002,2019-01-27,2019,1,January,1,Sunday,1,1900-01-01 20:33:00,20,Ewallet,8.4,Excellent
5,WALM013,Irving,Sports and travel,86.31,7,604.1700000000001,0.48,290.0016,2019-02-08,2019,2,February,1,Friday,0,1900-01-01 10:37:00,10,Ewallet,5.3,Average
6,WALM026,Denton,Electronic accessories,85.39,7,597.73,0.48,286.9104,2019-03-25,2019,3,March,1,Monday,0,1900-01-01 18:30:00,18,Ewallet,4.1,Average
7,WALM088,Cleburne,Electronic accessories,68.84,6,413.04,0.33,136.3032,2019-02-25,2019,2,February,1,Monday,0,1900-01-01 14:36:00,14,Ewallet,5.8,Average
8,WALM100,Canyon,Home and lifestyle,73.56,10,735.6,0.18,132.408,2019-02-24,2019,2,February,1,Sunday,1,1900-01-01 11:38:00,11,Ewallet,8.0,Excellent
9,WALM066,Grapevine,Health and beauty,36.26,2,72.52,0.33,23.9316,2019-01-10,2019,1,January,1,Thursday,0,1900-01-01 17:15:00,17,Credit card,7.2,Good
10,WALM065,Texas City,Food and beverages,54.84,3,164.52,0.33,54.2916,2019-02-20,2019,2,February,1,Wednesday,0,1900-01-01 13:27:00,13,Credit card,5.9,Average
11,WALM013,Irving,Fashion accessories,14.48,4,57.92,0.48,27.8016,2019-02-06,2019,2,February,1,Wednesday,0,1900-01-01 18:07:00,18,Ewallet,4.5,Average
12,WALM035,San Angelo,Electronic accessories,25.51,4,102.04,0.48,48.9792,2019-03-09,2019,3,March,1,Saturday,1,1900-01-01 17:03:00,17,Cash,6.8,Good
13,WALM027,Abilene,Electronic accessories,46.95,5,234.75,0.48,112.67999999999999,2019-02-12,2019,2,February,1,Tuesday,0,1900-01-01 10:25:00,10,Ewallet,7.1,Good
14,WALM035,San Angelo,Food and beverages,43.19,10,431.9,0.48,207.31199999999998,2019-02-07,2019,2,February,1,Thursday,0,1900-01-01 16:48:00,16,Ewallet,8.2,Excellent
15,WALM031,Lewisville,Health and beauty,71.38,10,713.8,0.48,342.62399999999997,2019-03-29,2019,3,March,1,Friday,0,1900-01-01 19:21:00,19,Cash,5.7,Average
16,WALM008,Corpus Christi,Sports and travel,93.72,6,562.3199999999999,0.48,269.9136,2019-01-15,2019,1,January,1,Tuesday,0,1900-01-01 16:19:00,16,Cash,4.5,Average
17,WALM029,Round Rock,Health and beauty,68.93,7,482.51000000000005,0.48,231.6048,2019-03-11,2019,3,March,1,Monday,0,1900-01-01 11:03:00,11,Credit card,4.6,Average
18,WALM061,Cedar Park,Sports and travel,72.61,6,435.65999999999997,0.33,143.7678,2019-01-01,2019,1,January,1,Tuesday,0,1900-01-01 10:39:00,10,Credit card,6.9,Good
19,WALM053,Conroe,Food and beverages,54.67,3,164.01,0.57,93.48569999999998,2019-01-21,2019,1,January,1,Monday,0,1900-01-01 18:00:00,18,Credit card,8.6,Excellent
20,WALM013,Irving,Home and lifestyle,40.3,2,80.6,0.48,38.687999999999995,2019-03-11,2019,3,March,1,Monday,0,1900-01-01 15:30:00,15,Ewallet,4.4,Average
21,WALM044,Pharr,Electronic accessories,86.04,5,430.20000000000005,0.48,206.496,2019-02-25,2019,2,February,1,Monday,0,1900-01-01 11:24:00,11,Ewallet,4.8,Average
22,WALM088,Cleburne,Health and beauty,87.98,3,263.94,0.33,87.1002,2019-03-05,2019,3,March,1,Tuesday,0,1900-01-01 10:40:00,10,Ewallet,5.1,Average
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2,66.4,0.33,21.912000000000003,2019-03-15,2019,3,March,1,Friday,0,1900-01-01 12:20:00,12,Credit card,4.4,Average
24,WALM067,Haltom City,Electronic accessories,34.56,5,172.8,0.33,57.02400000000001,2019-02-17,2019,2,February,1,Sunday,1,1900-01-01 11:15:00,11,Ewallet,9.9,Excellent
25,WALM023,Midland,Sports and travel,88.63,3,265.89,0.48,127.62719999999999,2019-03-02,2019,3,March,1,Saturday,1,1900-01-01 17:36:00,17,Ewallet,6.0,Good
26,WALM001,Houston,Home and lifestyle,52.59,8,420.72,0.36,151.4592,2019-03-22,2019,3,March,1,Friday,0,1900-01-01 19:20:00,19,Credit card,8.5,Excellent
